attribute_id,attribute_name,DisToAll,Chicken,Pizza,Burger,Salad,Pasta,Sushi,Steak,Tacos,Soup,Sandwich,Fries,Hotdog,Curry,Rice,Fish,Cake
3146,brawler,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3147,glucuronide,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3148,daiquiris,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3149,annulet,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3150,bagoong,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3151,charliecard,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3152,kolsch,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3153,boxes,1.34164,0,0.894427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447214
3154,bychan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3155,headz,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3156,retronym,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3157,schwertern,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3158,doorbuster,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3159,maniera,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3160,laugher,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3161,shaft-driven,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3162,nemacheilus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3163,+1.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3164,yp,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3165,chippie,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3166,u-11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3167,splash,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3168,kissa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3169,picamoles,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3170,jardini,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3171,opensource,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3172,asthenotricha,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3173,cohibas,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3174,bromance,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3175,househusband,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3176,massri,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3177,byblis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3178,smok,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3179,singalong,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3180,angst-ridden,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3181,brayed,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3182,afikoman,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3183,voluntas,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3184,slaughterhouse,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3185,crema,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3186,bars,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3187,druidry,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3188,codice_48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3189,shrimps,1.41421,0.707107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707107,0
3190,actually,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3191,non-carbonated,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3192,sezam,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3193,nafs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3194,sanyasi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3195,automatons,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3196,kylix,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3197,qualifing,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3198,has,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3199,disputatious,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3200,gazpacho,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3201,antiestablishment,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3202,platymantis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3203,singspiel,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3204,đaković,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3205,two-ton,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3206,ale,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3207,pyc,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3208,baby,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3209,run-dmc,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3210,mixmag,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3211,dementedly,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3212,schräge,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3213,flours,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3214,migratory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3215,typepad,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3216,doujinshi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3217,finitely-generated,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3218,spatula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3219,pansori,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3220,barroom,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3221,pangasius,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3222,self-righteous,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3223,worte,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3224,vasca,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3225,diseased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3226,troff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3227,phyllo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3228,paid-for,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3229,browned,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3230,alluringly,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3231,moonchild,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3232,laghu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3233,taci,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3234,goldfish,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3235,terephthalic,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3236,bambusa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3237,co-editing,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3238,sanjeevani,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3239,trees,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3240,precomputed,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3241,acylated,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3242,hibernaculum,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3243,proselytizer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3244,quanto,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3245,reese,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3246,insipid,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3247,freeloading,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3248,atole,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3249,expres,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3250,kailan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3251,5-kim,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3252,afana,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3253,cimex,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3254,proverbially,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3255,coronis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3256,neocolonial,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3257,bookstore,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3258,anglers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3259,midan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3260,dry-land,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3261,fork,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3262,dortmunder,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3263,drivel,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3264,shebeens,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3265,compter,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3266,elementa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3267,té,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3268,radiolarian,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3269,woodcrest,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3270,coffeeshop,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3271,car-like,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3272,whooo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3273,recycler,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3274,revengeful,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3275,rabelaisian,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3276,caesar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3277,dangerous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3278,knight-errant,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3279,homeplus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3280,podi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3281,fatty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3282,chaitya,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3283,latinum,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3284,macgruber,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3285,ultraviolent,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3286,moshulu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3287,tunny,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3288,labeobarbus,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3289,consummately,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3290,excreting,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3291,bay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3292,fluffernutter,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3293,voyeurs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3294,tranquiliser,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3295,u.s.-only,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3296,guksu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3297,laddish,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
